Titulo,Preço,Data_request
Red Dead Redemption 2 - PlayStation 4,"R$129,59",2023-05-15 16:55:22.005995
Grand Theft Auto V - Premium Online Edition - Playstation 4,"R$92,83",2023-05-15 16:55:24.581454
The Last Of Us Remasterizado Hits - PlayStation 4,"R$95,90",2023-05-15 16:55:26.857981
Hogwarts Legacy - PlayStation 4,"R$263,92",2023-05-15 16:55:29.437496
God Of War Hits - PlayStation 4,"R$59,90",2023-05-15 16:55:31.777285
Elden Ring - PlayStation 4,"R$219,99",2023-05-15 16:55:34.119748
Horizon Forbidden West Edição Padrão - Playstation 4,"R$147,50",2023-05-15 16:55:36.688669
Resident Evil 4 - PlayStation 4,"R$278,77",2023-05-15 16:55:39.092706
Red Dead Redemption 2 - PlayStation 4,"R$129,59",2023-05-15 16:55:22.005995
Grand Theft Auto V - Premium Online Edition - Playstation 4,"R$92,83",2023-05-15 16:55:24.581454
The Last Of Us Remasterizado Hits - PlayStation 4,"R$95,90",2023-05-15 16:55:26.857981
Hogwarts Legacy - PlayStation 4,"R$263,92",2023-05-15 16:55:29.437496
God Of War Hits - PlayStation 4,"R$59,90",2023-05-15 16:55:31.777285
Elden Ring - PlayStation 4,"R$219,99",2023-05-15 16:55:34.119748
Horizon Forbidden West Edição Padrão - Playstation 4,"R$147,50",2023-05-15 16:55:36.688669
Resident Evil 4 - PlayStation 4,"R$278,77",2023-05-15 16:55:39.092706
Red Dead Redemption 2 - PlayStation 4,"R$129,59",2023-05-15 19:31:16.896736
Grand Theft Auto V - Premium Online Edition - Playstation 4,"R$92,83",2023-05-15 19:31:20.006181
The Last Of Us Remasterizado Hits - PlayStation 4,"R$95,90",2023-05-15 19:31:22.830138
Hogwarts Legacy - PlayStation 4,"R$263,92",2023-05-15 19:31:25.860401
God Of War Hits - PlayStation 4,"R$59,90",2023-05-15 19:31:28.874442
Elden Ring - PlayStation 4,"R$219,99",2023-05-15 19:31:31.676754
Horizon Forbidden West Edição Padrão - Playstation 4,"R$147,50",2023-05-15 19:31:34.820337
Resident Evil 4 - PlayStation 4,"R$278,77",2023-05-15 19:31:37.530736
